#,Player,2021Salary
208,Daniel Theis ,"5,000,000"
208,Nerlens Noel ,"5,000,000"
211,Collin Sexton ,"4,991,880"
212,Pat Connaughton ,"4,938,273"
213,Obi Toppin ,"4,862,040"
214,Kevon Looney ,"4,821,429"
215,Kris Dunn ,"4,767,000"
215,Josh Jackson ,"4,767,000"
215,Garrett Temple ,"4,767,000"
215,Elfrid Payton ,"4,767,000"
219,Rui Hachimura ,"4,692,840"
220,Denzel Valentine ,"4,642,800"
221,Kevin Knox ,"4,588,680"
222,DJ Wilson ,"4,548,280"
223,Deni Avdija ,"4,469,160"
224,Cam Reddish ,"4,458,000"
225,TJ Leaf ,"4,431,423"
226,Mikal Bridges ,"4,359,000"
227,Jalen Smith ,"4,245,720"
228,Cameron Johnson ,"4,235,160"
229,JaVale McGee ,"4,200,000"
229,Reggie Bullock ,"4,200,000"
231,Shai Gilgeous-Alexander ,"4,141,320"
232,John Collins ,"4,137,302"
233,Willie Cauley-Stein ,"4,100,000"
234,Devin Vassell ,"4,033,440"
235,PJ Washington ,"4,023,600"
236,Dorian Finney-Smith ,"4,000,000"
236,Patrick McCaw ,"4,000,000"
238,Alex Len ,"3,970,648"
239,Terrance Ferguson ,"3,944,013"
240,Miles Bridges ,"3,934,320"
241,Austin Rivers ,"3,929,049"
242,Jevon Carter ,"3,925,000"
243,Jarrett Allen ,"3,909,902"
244,Nicolo Melli ,"3,897,436"
245,OG Anunoby ,"3,872,215"
246,Gabriel Deck ,"3,870,370"
247,Tyrese Haliburton ,"3,831,840"
248,Tyler Herro ,"3,822,240"
249,Patrick Patterson ,"3,814,771"
250,Stanley Johnson ,"3,804,150"
251,Jake Layman ,"3,761,085"
252,Jerome Robinson ,"3,737,520"
253,Danuel House ,"3,717,000"
254,Kira Lewis ,"3,640,200"
255,Romeo Langford ,"3,631,200"
256,Bobby Portis ,"3,623,000"
256,Wesley Matthews ,"3,623,000"
256,Moe Harkless ,"3,623,000"
259,Wayne Ellington ,"3,564,753"
260,Kyle Kuzma ,"3,562,178"
261,Michael Porter ,"3,550,800"
262,Tony Bradley ,"3,542,060"
263,Derrick White ,"3,516,284"
264,Bismack Biyombo ,"3,500,000"
264,Boban Marjanovic ,"3,500,000"
264,TJ McConnell ,"3,500,000"
267,Josh Hart ,"3,491,159"
268,Aaron Nesmith ,"3,458,400"
269,Sekou Doumbouya ,"3,449,400"
270,Dewayne Dedmon ,"3,447,478"
271,Troy Brown ,"3,372,840"
272,Jeff Teague ,"3,372,826"
273,Michael Carter-Williams ,"3,300,000"
273,James Ennis ,"3,300,000"
275,Cole Anthony ,"3,285,120"
276,Taj Gibson ,"3,283,684"
277,Facundo Campazzo ,"3,200,000"
278,Jon Leuer ,"3,169,348"
279,Isaiah Stewart ,"3,121,080"
279,Chuma Okeke ,"3,121,080"
281,Nickeil Alexander-Walker ,"3,113,160"
282,DeMarcus Cousins ,"3,051,832"
283,Donte DiVincenzo ,"3,044,160"
284,Khem Birch ,"3,011,499"
285,Trey Burke ,"3,000,000"
285,Ryan Arcidiacono ,"3,000,000"
287,Aleksej Pokusevski ,"2,964,840"
288,Goga Bitadze ,"2,957,520"
289,Lonnie Walker ,"2,895,720"
290,Ben McLemore ,"2,893,630"
291,Andrew Nicholson ,"2,844,429"
292,Luka Samanic ,"2,824,320"
293,Josh Green ,"2,816,760"
294,Kevin Huerter ,"2,761,920"
295,Alex Caruso ,"2,750,000"
295,Marko Guduric ,"2,750,000"
297,Matisse Thybulle ,"2,711,280"
298,Saddiq Bey ,"2,689,920"
299,Josh Okogie ,"2,651,040"
300,Vincent Poirier ,"2,619,207"
301,Brandon Clarke ,"2,602,920"
302,Precious Achiuwa ,"2,582,160"
303,Marc Gasol ,"2,564,753"
303,Jeff Green ,"2,564,753"
303,Jose Juan Barea ,"2,564,753"
303,Jared Dudley ,"2,564,753"
303,Udonis Haslem ,"2,564,753"
303,Dwight Howard ,"2,564,753"
303,Carmelo Anthony ,"2,564,753"
310,Grayson Allen ,"2,545,320"
311,Grant Williams ,"2,498,760"
312,Tyrese Maxey ,"2,478,840"
313,Chandler Hutchison ,"2,443,440"
314,Mfiondu Kabengele ,"2,432,353"
315,Darius Bazley ,"2,399,160"
316,Moritz Wagner ,"2,383,915"
317,Zeke Nnaji ,"2,379,840"
318,Aaron Holiday ,"2,345,640"
319,Bryn Forbes ,"2,337,145"
320,Reggie Jackson ,"2,331,593"
320,Markieff Morris ,"2,331,593"
320,E'Twaun Moore ,"2,331,593"
323,Kent Bazemore ,"2,320,044"
323,Hassan Whiteside ,"2,320,044"
325,Ty Jerome ,"2,303,040"
326,Mike Muscala ,"2,283,034"
327,Anfernee Simons ,"2,252,040"
328,Luke Kornet ,"2,250,000"
328,Brad Wanamaker ,"2,250,000"
330,Monta Ellis ,"2,245,400"
331,Nassir Little ,"2,210,640"
332,RJ Hampton ,"2,193,480"
333,Solomon Hill ,"2,174,318"
333,Matthew Dellavedova ,"2,174,318"
335,Edmond Sumner ,"2,160,000"
336,Dylan Windler ,"2,137,440"
337,Immanuel Quickley ,"2,105,520"
338,John Konchar ,"2,100,000"
339,Landry Shamet ,"2,090,040"
340,Jordan Poole ,"2,063,280"
341,Bol Bol ,"2,058,240"
342,Keldon Johnson ,"2,048,040"
343,Payton Pritchard ,"2,035,800"
344,Robert Williams ,"2,029,920"
345,Bruno Caboclo ,"2,028,594"
345,Tyler Johnson ,"2,028,594"
345,Langston Galloway ,"2,028,594"
348,Jacob Evans ,"2,017,320"
349,Spencer Hawes ,"2,007,058"
350,Dzanan Musa ,"2,002,800"
