Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
187,R.J. Hampton\hamptrj01,SG,19,ORL,6,1,23.2,4.3,9.3,0.464,1,2.7,0.375,3.3,6.7,0.5,0.518,1.2,2,0.583,0.7,4,4.7,1.5,0.8,0.2,1,1.3,10.8
188,Tim Hardaway Jr.\hardati02,SG,28,DAL,50,20,28.9,5.8,13,0.446,3,7.5,0.394,2.9,5.5,0.518,0.56,1.9,2.4,0.797,0.3,3.2,3.5,1.7,0.5,0.1,0.9,1.5,16.5
189,James Harden\hardeja01,PG-SG,31,TOT,42,42,37.1,8,17.2,0.463,2.8,7.8,0.358,5.2,9.4,0.549,0.544,6.5,7.5,0.87,0.8,7.2,8,10.9,1.2,0.7,4.1,2.3,25.2
189,James Harden\hardeja01,SG,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9,0.347,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
189,James Harden\hardeja01,PG,31,BRK,34,34,37.3,8.1,17.3,0.467,2.7,7.5,0.361,5.4,9.8,0.548,0.545,6.5,7.5,0.867,0.9,7.8,8.7,11,1.3,0.7,4.1,2.4,25.4
190,Maurice Harkless\harklma01,SF-PF,27,TOT,18,4,13.3,0.8,2.1,0.395,0.4,1.4,0.308,0.4,0.7,0.583,0.5,0.2,0.3,0.667,0.2,1.1,1.3,0.7,0.3,0.3,0.3,1.6,2.3
190,Maurice Harkless\harklma01,SF,27,MIA,11,3,11.3,0.5,1.2,0.385,0.5,1,0.455,0,0.2,0,0.577,0,0.2,0,0.2,1,1.2,0.6,0.2,0.4,0.3,1.3,1.4
190,Maurice Harkless\harklma01,PF,27,SAC,7,1,16.4,1.4,3.6,0.4,0.4,2.1,0.2,1,1.4,0.7,0.46,0.6,0.6,1,0.1,1.3,1.4,0.9,0.4,0.1,0.4,2.1,3.9
191,Jared Harper\harpeja01,PG,23,NYK,4,0,2.3,0,0.5,0,0,0,,0,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0.5,0,0.5
192,Montrezl Harrell\harremo01,C,27,LAL,52,1,24.7,6,9.5,0.63,0,0.2,0,6,9.3,0.643,0.63,2.8,4,0.709,2.5,4.2,6.7,1.1,0.7,0.8,1.2,2,14.7
193,Gary Harris\harriga01,SG,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
194,Jalen Harris\harrija01,SG,22,TOR,4,0,3.5,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0,0,,0.3,0.5,0.8,0.5,0.3,0,0.3,0.5,0.8
195,Joe Harris\harrijo01,SF,29,BRK,52,48,30.8,5.2,10.2,0.512,3.2,6.6,0.484,2,3.6,0.565,0.669,0.6,0.8,0.727,0.6,3.1,3.7,1.8,0.6,0.2,0.8,2.1,14.2
196,Tobias Harris\harrito02,PF,28,PHI,46,46,33.4,8,15.3,0.522,1.4,3.5,0.401,6.6,11.8,0.558,0.568,3.2,3.5,0.895,1.1,6.3,7.3,3.6,0.9,0.8,1.9,2,20.5
197,Shaquille Harrison\harrish01,SG,27,UTA,17,0,3.3,0.4,1.2,0.3,0,0.1,0,0.4,1.1,0.333,0.3,0.3,0.4,0.833,0.2,0.4,0.5,0.5,0.1,0,0.3,0.2,1
198,Josh Hart\hartjo01,SF,25,NOP,47,4,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8,2.3,0.8,0.3,1,2.4,9.2
199,Isaiah Hartenstein\harteis01,C,22,TOT,35,1,11.1,1.7,3.2,0.536,0.1,0.1,0.4,1.7,3.1,0.542,0.545,0.9,1.6,0.582,1.4,2.4,3.8,0.9,0.3,0.7,0.7,2.2,4.4
