Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
346,Raul Neto\netora01,PG,28,WAS,44,7,20.7,3.1,7.1,0.439,0.9,2.7,0.35,2.2,4.5,0.492,0.505,0.9,1.1,0.809,0.4,1.9,2.3,2.2,1.1,0.1,0.8,1.6,8.1
347,Georges Niang\niangge01,PF,27,UTA,52,0,13.8,2,4.6,0.425,1.3,3.4,0.394,0.6,1.3,0.508,0.569,0.1,0.1,1,0.3,1.8,2.1,0.7,0.3,0.1,0.6,1.5,5.4
348,Zeke Nnaji\nnajize01,PF,20,DEN,33,1,10.1,1.3,2.5,0.524,0.6,1.5,0.417,0.7,1.1,0.667,0.643,0.4,0.5,0.8,0.4,1.3,1.7,0.2,0.1,0.1,0.2,0.7,3.6
349,Nerlens Noel\noelne01,C,26,NYK,46,23,22.8,2.1,3.5,0.602,0,0,0,2.1,3.5,0.61,0.602,0.6,1,0.636,2.2,3.9,6.1,0.6,1,2,1.2,2.7,4.8
350,Jaylen Nowell\nowelja01,SG,21,MIN,36,0,19.1,3.8,8.4,0.444,1.3,3.7,0.356,2.4,4.8,0.512,0.521,1.1,1.4,0.837,0.5,1.8,2.3,1.6,0.6,0.3,0.8,1.9,9.9
351,Frank Ntilikina\ntilila01,PG,22,NYK,18,4,14.1,1.3,3.6,0.359,0.9,2.1,0.459,0.3,1.5,0.222,0.492,0.4,0.8,0.5,0.2,1.1,1.3,0.8,0.8,0.1,0.6,1.8,3.9
352,Kendrick Nunn\nunnke01,PG,25,MIA,38,26,28.6,5.2,11.4,0.457,2,5.4,0.372,3.2,5.9,0.535,0.546,1,1.1,0.907,0.4,2.7,3.1,2.6,1,0.2,1.5,1.8,13.5
353,Jusuf Nurkić\nurkiju01,C,26,POR,18,18,22.2,3.8,7.8,0.486,0.4,1.1,0.35,3.4,6.7,0.508,0.511,1.5,2.5,0.6,1.9,5.5,7.4,2.9,0.9,0.8,2,2.9,9.4
354,David Nwaba\nwabada01,SF,28,HOU,30,9,22.6,3.5,7.3,0.486,0.6,2.1,0.27,3,5.2,0.574,0.525,1.6,2.3,0.691,1.3,2.6,3.9,1,1,0.7,0.6,2,9.2
355,Jordan Nwora\nworajo01,SF,22,MIL,19,1,8.2,1.4,3.5,0.403,0.7,1.6,0.467,0.7,1.9,0.351,0.507,0.7,0.9,0.765,0.2,1.5,1.6,0.2,0.5,0.2,0.8,0.6,4.3
356,Royce O'Neale\onealro01,SF,27,UTA,52,52,31.7,2.4,5.5,0.432,1.5,4,0.38,0.8,1.5,0.571,0.57,0.6,0.7,0.868,1.2,5.4,6.6,2.5,0.8,0.5,1.1,2.8,6.9
357,Semi Ojeleye\ojelese01,PF,26,BOS,42,9,18.8,1.7,4.3,0.408,1.2,3.1,0.395,0.5,1.2,0.44,0.55,0.6,0.8,0.75,0.6,2.2,2.8,0.8,0.3,0,0.4,1.1,5.3
358,Jahlil Okafor\okafoja01,C,25,DET,13,0,10.4,2.2,3.7,0.583,0.1,0.3,0.25,2.1,3.4,0.614,0.594,0.4,0.5,0.833,1,1.3,2.3,0.5,0.2,0.2,0.4,1,4.8
359,Chuma Okeke\okekech01,PF,22,ORL,35,9,24,2.6,6.1,0.427,1,2.8,0.367,1.6,3.3,0.478,0.512,0.6,0.8,0.778,0.9,3,4,2.1,0.9,0.4,0.8,1.1,6.8
360,Josh Okogie\okogijo01,SG,22,MIN,39,23,19.9,1.5,4.2,0.352,0.4,1.8,0.232,1.1,2.5,0.438,0.4,1.4,1.7,0.815,0.9,1.6,2.5,1.1,0.9,0.4,0.7,2.1,4.7
361,Onyeka Okongwu\okongon01,C,20,ATL,30,2,10.7,1.5,2.6,0.597,0,0,0,1.5,2.5,0.605,0.597,0.7,1.3,0.579,1,2,3,0.2,0.4,0.6,0.5,1.7,3.8
362,Isaac Okoro\okorois01,SG,20,CLE,46,46,32,3,7.2,0.426,0.9,2.8,0.313,2.2,4.3,0.5,0.488,1.2,1.8,0.687,0.8,1.9,2.8,1.7,1,0.4,1.5,2.8,8.2
363,KZ Okpala\okpalkz01,PF,21,MIA,25,9,12.9,1.1,2.6,0.409,0.4,1.5,0.297,0.6,1.2,0.552,0.492,0.1,0.2,0.333,0.6,1.4,2,0.4,0.2,0.3,0.5,1.8,2.7
364,Victor Oladipo\oladivi01,SG,28,TOT,33,33,32.7,7.1,17.5,0.408,2.4,7.2,0.326,4.8,10.2,0.466,0.476,3.2,4.2,0.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8
364,Victor Oladipo\oladivi01,SG,28,IND,9,9,33.3,7.1,16.9,0.421,2.8,7.7,0.362,4.3,9.2,0.47,0.503,3,4.1,0.73,0.1,5.6,5.7,4.2,1.7,0.2,2,2.6,20
364,Victor Oladipo\oladivi01,SG,28,HOU,20,20,33.5,7.8,19.1,0.407,2.5,7.7,0.32,5.3,11.4,0.465,0.471,3.3,4.2,0.783,0.4,4.4,4.8,5,1.2,0.5,2.6,2.3,21.2
364,Victor Oladipo\oladivi01,G,28,MIA,4,4,27.8,4,10.8,0.372,1,4.3,0.235,3,6.5,0.462,0.419,3,4.5,0.667,0.8,2.8,3.5,3.5,1.8,0.5,3.5,3.3,12
365,Kelly Olynyk\olynyke01,C-PF,29,TOT,50,42,27.2,4.1,9,0.458,1.8,5.6,0.33,2.3,3.4,0.669,0.56,1,1.2,0.839,0.9,5.3,6.2,2.2,1,0.7,1.3,2.9,11.1
365,Kelly Olynyk\olynyke01,C,29,MIA,43,38,26.9,3.8,8.7,0.431,1.8,5.7,0.317,2,3.1,0.639,0.533,0.7,0.9,0.775,1,5,6.1,2.1,0.9,0.6,1.3,2.9,10
365,Kelly Olynyk\olynyke01,PF,29,HOU,7,4,28.9,6.1,10.3,0.597,2.1,5.1,0.417,4,5.1,0.778,0.701,3,3.1,0.955,0.4,6.6,7,3,1.1,1,1.7,3,17.4
366,Miye Oni\onimi01,SG,23,UTA,36,0,8.8,0.7,1.9,0.382,0.6,1.6,0.373,0.1,0.3,0.444,0.544,0.1,0.2,0.833,0.5,1.3,1.7,0.3,0.1,0.2,0.3,1.1,2.2
367,Cedi Osman\osmande01,SF,25,CLE,46,17,24.6,3.4,9.8,0.352,1.7,5.6,0.305,1.7,4.2,0.415,0.439,1.2,1.5,0.746,0.6,2.7,3.3,2.6,0.9,0.2,1,1.8,9.7
368,Daniel Oturu\oturuda01,C,21,LAC,19,0,4.1,0.6,1.2,0.522,0,0.1,0,0.6,1.2,0.545,0.522,0.1,0.2,0.5,0.4,0.7,1.1,0.3,0.1,0.2,0.3,0.6,1.4
369,Kelly Oubre Jr.\oubreke01,SF,25,GSW,49,49,30.7,5.7,13.2,0.436,1.6,5.1,0.311,4.1,8,0.515,0.496,2.1,3,0.692,1.5,4.6,6,1.4,1.1,0.8,1.2,2.3,15.1
370,Jabari Parker\parkeja01,PF,25,SAC,3,0,9,1.3,2.3,0.571,0,0.3,0,1.3,2,0.667,0.571,0,0,,0.3,1.7,2,0.3,0,0.3,1,1.3,2.7
371,Eric Paschall\pascher01,PF,24,GSW,39,2,17.3,3.7,7.5,0.491,0.4,1.4,0.321,3.3,6.2,0.529,0.52,1.6,2.3,0.719,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5
372,Anžejs Pasečņiks\pasecan01,C,25,WAS,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,1,0,1,1,0,0,5,2,0
373,Patrick Patterson\pattepa01,PF,31,LAC,24,2,13.9,1.8,3.9,0.452,1,2.6,0.381,0.8,1.3,0.6,0.581,0.4,0.5,0.833,0.4,1.4,1.8,0.5,0.4,0.3,0.3,1.5,4.9
374,Justin Patton\pattoju01,C,23,HOU,13,6,19,2.2,5.4,0.414,0.7,2.6,0.265,1.5,2.8,0.556,0.479,0.2,0.3,0.75,1.1,2.7,3.8,1.1,0.9,1.1,0.3,2.6,5.4
375,Chris Paul\paulch01,PG,35,PHO,50,50,32,6.1,12.5,0.49,1.3,3.7,0.366,4.8,8.9,0.542,0.544,2.6,2.8,0.929,0.4,4.3,4.7,8.7,1.4,0.2,2.3,2.4,16.2
376,Cameron Payne\payneca01,PG,26,PHO,40,0,16.9,2.6,5.5,0.468,0.9,2.4,0.394,1.6,3.1,0.524,0.553,0.7,0.8,0.879,0.2,2.1,2.3,3.6,0.6,0.2,1.1,1.7,6.8
377,Elfrid Payton\paytoel01,PG,26,NYK,43,43,26.5,4.9,11.2,0.435,0.5,1.9,0.263,4.4,9.4,0.469,0.457,1.5,2.2,0.71,1.3,2.4,3.7,3.5,0.8,0.2,1.8,2,11.8
378,Norvel Pelle\pelleno01,C,27,TOT,5,0,7,0.6,1.6,0.375,0,0,,0.6,1.6,0.375,0.375,0.8,1.2,0.667,0.8,1.4,2.2,0.2,0,1,0.6,2,2
378,Norvel Pelle\pelleno01,C,27,BRK,3,0,9.3,1,2.3,0.429,0,0,,1,2.3,0.429,0.429,0,0,,1,1.3,2.3,0,0,1,1,3,2
378,Norvel Pelle\pelleno01,C,27,SAC,1,0,4,0,1,0,0,0,,0,1,0,0,3,4,0.75,1,0,1,1,0,0,0,1,3
378,Norvel Pelle\pelleno01,F-C,27,NYK,1,0,3,0,0,,0,0,,0,0,,,1,2,0.5,0,3,3,0,0,2,0,0,1
379,Reggie Perry\perryre01,PF,20,BRK,18,0,10.4,1.7,3.9,0.429,0.2,1.1,0.211,1.4,2.8,0.51,0.457,0.4,0.6,0.727,1.2,2.2,3.4,0.8,0.2,0.3,0.7,1.8,4
380,Theo Pinson\pinsoth01,SG,25,NYK,14,0,2.2,0.1,0.6,0.111,0,0.6,0,0.1,0.1,1,0.111,0,0,,0,0.1,0.1,0.1,0,0,0.1,0.3,0.1
381,Mason Plumlee\plumlma01,C,30,DET,48,48,27.3,4.1,6.8,0.606,0,0.1,0,4.1,6.7,0.619,0.606,2.1,3.1,0.662,2.6,6.6,9.2,3.5,0.8,0.9,1.9,3.4,10.3
382,Jakob Poeltl\poeltja01,C,25,SAS,49,31,25.6,3.6,5.8,0.622,0,0,,3.6,5.8,0.622,0.622,0.7,1.8,0.407,3.2,4.8,8,1.8,0.6,1.6,1.3,2.2,8
383,Vincent Poirier\poirivi01,C,27,PHI,10,0,3.9,0.3,1.2,0.25,0,0.1,0,0.3,1.1,0.273,0.25,0.2,0.6,0.333,0.6,0.8,1.4,0.2,0,0.3,0.4,0.8,0.8
384,Aleksej Pokusevski\pokusal01,PF,19,OKC,32,15,24,2.9,8.7,0.336,1.3,4.6,0.291,1.6,4,0.388,0.413,0.7,0.8,0.846,0.7,4.1,4.8,2,0.4,1,1.9,1.2,7.8
385,Jordan Poole\poolejo01,SG,21,GSW,30,6,17.4,3.7,8.4,0.442,1.7,4.7,0.359,2,3.6,0.55,0.544,1.6,1.8,0.907,0.2,1.4,1.5,1.8,0.4,0.1,0.8,1.5,10.7
386,Jontay Porter\portejo01,PF,21,MEM,5,0,3.8,0.4,1.4,0.286,0.2,1,0.2,0.2,0.4,0.5,0.357,0,0,,0.4,1.4,1.8,0.2,0.4,0,1,1.2,1
387,Kevin Porter Jr.\porteke02,SG,20,HOU,14,11,30.4,6,13.6,0.44,1.4,5.5,0.247,4.6,8.1,0.57,0.49,2.1,3.1,0.682,0.5,3.1,3.6,5.9,0.9,0.5,3.5,2.1,15.5
388,Michael Porter Jr.\portemi01,SF,22,DEN,41,34,30,6.5,12,0.541,2.4,5.4,0.452,4,6.6,0.613,0.642,1.5,2,0.759,1.8,5.8,7.6,1,0.6,0.9,1.1,2.1,17
389,Otto Porter\porteot01,SF-PF,27,TOT,28,6,21.6,3.5,8.1,0.432,1.4,3.7,0.375,2.1,4.4,0.48,0.518,1.3,1.5,0.857,1,4.4,5.4,2,0.6,0.1,0.9,1.5,9.7
389,Otto Porter\porteot01,SF,27,CHI,25,6,21.6,3.6,8.1,0.441,1.5,3.8,0.4,2,4.3,0.477,0.535,1.2,1.5,0.838,1.1,4.4,5.5,2,0.5,0.2,1,1.5,9.9
389,Otto Porter\porteot01,PF,27,ORL,3,0,22,3,8.3,0.36,0.3,3,0.111,2.7,5.3,0.5,0.38,1.7,1.7,1,0,4.7,4.7,1.7,1.3,0,0,1.3,8
390,Bobby Portis\portibo01,C,25,MIL,47,4,21.3,4.7,8.9,0.535,1.1,2.4,0.468,3.6,6.5,0.559,0.597,0.7,1,0.739,1.7,5.4,7.1,1.1,0.8,0.4,0.7,1.7,11.3
391,Kristaps Porziņģis\porzikr01,C,25,DAL,33,33,30.8,7.8,16.3,0.477,2.3,6.2,0.369,5.5,10,0.544,0.547,2.6,3.2,0.827,2,7.2,9.2,1.5,0.4,1.6,1.3,2.6,20.4
392,Dwight Powell\poweldw01,C,29,DAL,37,8,14.6,1.5,2.9,0.495,0.1,0.5,0.263,1.3,2.4,0.544,0.518,1.6,2,0.784,1.2,2.2,3.4,0.8,0.5,0.4,0.5,2.3,4.6
393,Norman Powell\powelno01,SG-SF,27,TOT,49,38,30.6,6.5,13.3,0.492,2.7,6.2,0.435,3.8,7,0.542,0.594,3.5,4.1,0.851,0.6,2.5,3.1,1.7,1.2,0.2,1.8,2.3,19.3
393,Norman Powell\powelno01,SG,27,TOR,42,31,30.4,6.7,13.5,0.498,2.8,6.4,0.439,3.9,7.1,0.552,0.602,3.4,3.9,0.865,0.5,2.5,3,1.8,1.1,0.2,1.8,2.3,19.6
393,Norman Powell\powelno01,SF,27,POR,7,7,32,5.4,12.1,0.447,2.1,5.3,0.405,3.3,6.9,0.479,0.535,4.3,5.4,0.789,1.3,2.1,3.4,1.1,1.9,0.4,1.4,2.4,17.3
394,Taurean Prince\princta02,PF,26,TOT,34,10,21.9,3,7.7,0.388,1.4,3.6,0.387,1.6,4.1,0.388,0.479,1.6,1.9,0.848,0.5,3.1,3.6,1.9,0.6,0.6,1,1.9,9.1
394,Taurean Prince\princta02,PF,26,BRK,12,4,18.2,2.5,6.2,0.405,1.1,3.1,0.351,1.4,3.1,0.459,0.493,2,2.3,0.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
394,Taurean Prince\princta02,PF,26,CLE,22,6,24,3.3,8.6,0.381,1.6,4,0.402,1.7,4.6,0.363,0.474,1.5,1.8,0.821,0.7,3.4,4,2.6,0.6,0.6,1,1.9,9.6
395,Payton Pritchard\pritcpa01,SG,23,BOS,46,1,19.2,2.6,5.8,0.449,1.3,3.3,0.407,1.3,2.5,0.504,0.564,0.5,0.5,0.875,0.5,1.7,2.2,1.9,0.6,0.2,0.9,1.8,7
396,Immanuel Quickley\quickim01,PG,21,NYK,47,3,19.6,3.7,9.7,0.385,1.8,4.9,0.371,1.9,4.8,0.4,0.479,2.7,3,0.894,0.4,1.9,2.3,2.2,0.5,0.2,0.9,1.9,12
397,Jahmi'us Ramsey\ramseja01,SG,19,SAC,5,0,3.4,0.6,1,0.6,0.2,0.6,0.333,0.4,0.4,1,0.7,0,0,,0,0.8,0.8,0.2,0,0.2,0.2,0,1.4
398,Chasson Randle\randlch01,PG,27,ORL,22,5,21.2,1.9,5,0.385,1.1,2.9,0.375,0.8,2,0.4,0.495,0.7,0.8,0.833,0.1,1.8,2,2.1,0.5,0.1,1.1,1.8,5.6
399,Julius Randle\randlju01,PF,26,NYK,51,51,37,8.2,17.8,0.462,2,5,0.407,6.2,12.8,0.484,0.519,4.5,5.6,0.794,1.3,9.4,10.7,6,0.9,0.3,3.4,3.1,22.9
400,Cam Reddish\reddica01,SF,21,ATL,26,21,28.8,3.7,10.1,0.365,1.3,4.8,0.262,2.4,5.3,0.46,0.428,2.6,3.2,0.817,0.8,3.2,4,1.3,1.3,0.3,1.3,2.6,11.2
401,J.J. Redick\redicjj01,SG,36,NOP,31,0,18.6,2.8,6.9,0.407,1.6,4.5,0.364,1.2,2.4,0.486,0.526,1.5,1.5,0.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
402,Paul Reed\reedpa01,PF,21,PHI,13,0,7.8,1.5,3.2,0.476,0,0.5,0,1.5,2.8,0.556,0.476,0,0.2,0,0.9,1.2,2.1,0.4,0.4,0.5,0.5,1.2,3.1
403,Naz Reid\reidna01,C,21,MIN,50,13,19.1,4.2,8,0.522,0.8,2.3,0.359,3.4,5.7,0.589,0.575,1.8,2.5,0.724,1.1,3.4,4.5,1.1,0.6,1.1,1,2.6,11
404,Cameron Reynolds\reynoca01,SF,25,SAS,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,0.7
405,Nick Richards\richani01,PF,23,CHO,13,0,3.9,0.3,0.5,0.571,0,0,,0.3,0.5,0.571,0.571,0.5,0.8,0.636,0.2,0.5,0.7,0.1,0,0,0.2,0.4,1.2
406,Josh Richardson\richajo01,SG,27,DAL,41,41,32,4.5,10.5,0.428,1.6,4.9,0.318,2.9,5.6,0.524,0.502,1.9,2.1,0.918,0.8,2.8,3.6,2.8,0.9,0.4,1.5,2.5,12.4
407,Grant Riller\rillegr01,PG,23,CHO,1,0,5,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
408,Austin Rivers\riverau01,SG,28,NYK,21,2,21,2.8,6.4,0.43,1.3,3.7,0.364,1.4,2.8,0.517,0.533,0.5,0.7,0.714,0.2,2,2.2,2,0.6,0,1,1.5,7.3
409,Andre Roberson\roberan03,SG,29,BRK,5,0,12.6,0.4,2.8,0.143,0.2,1.6,0.125,0.2,1.2,0.167,0.179,0.2,0.4,0.5,1.4,1.6,3,0.8,0.6,0.2,0.4,0.8,1.2
410,Duncan Robinson\robindu01,SF,26,MIA,52,52,32.5,4.3,9.9,0.441,3.5,8.5,0.408,0.9,1.4,0.639,0.616,0.9,1.1,0.845,0.1,3.7,3.8,1.8,0.5,0.3,1.2,2.5,13.1
411,Glenn Robinson III\robingl02,SF,27,SAC,23,2,16,1.8,4.3,0.424,0.7,1.9,0.364,1.1,2.4,0.473,0.505,0.9,1,0.913,0.5,1.5,2,0.9,0.2,0.1,0.5,1,5.3
412,Jerome Robinson\robinje01,SG,23,WAS,17,6,17.9,1.6,5.6,0.295,0.6,2.5,0.262,1,3.1,0.321,0.353,0.9,1.2,0.8,0.2,2,2.2,1.5,0.7,0.4,1.1,1.8,4.9
413,Justin Robinson\robinju01,G,23,OKC,3,0,18,1.7,5,0.333,1,3.7,0.273,0.7,1.3,0.5,0.433,0.7,1,0.667,0,1.3,1.3,2,0.3,0,0.3,2,5
414,Mitchell Robinson\robinmi01,C,22,NYK,31,29,27.5,3.7,5.7,0.653,0,0,,3.7,5.7,0.653,0.653,0.8,1.7,0.491,3.6,4.5,8.1,0.5,1.1,1.5,0.8,2.8,8.3
415,Isaiah Roby\robyis01,PF,22,OKC,43,23,23.4,3.4,6.8,0.502,0.5,1.6,0.314,2.9,5.2,0.561,0.539,1.5,2.2,0.71,1.6,4.1,5.7,1.8,0.8,0.7,1.8,2.6,8.9
416,Rajon Rondo\rondora01,PG,34,TOT,30,2,15,1.7,4.2,0.408,0.7,1.7,0.392,1,2.5,0.419,0.488,0.1,0.1,0.75,0.3,1.8,2,3.6,0.7,0.1,1.5,1.1,4.2
416,Rajon Rondo\rondora01,PG,34,ATL,27,2,14.9,1.6,4.1,0.4,0.6,1.7,0.378,1,2.4,0.415,0.477,0,0.1,0.5,0.1,1.9,2,3.5,0.7,0.1,1.4,0.9,3.9
416,Rajon Rondo\rondora01,G,34,LAC,3,0,15.7,2.3,5,0.467,1,2,0.5,1.3,3,0.444,0.567,0.7,0.7,1,1.3,0.7,2,4.3,1,0.3,2,2.7,6.3
417,Derrick Rose\rosede01,PG,32,TOT,31,3,23.9,4.9,11.6,0.421,1,2.6,0.37,3.9,9,0.436,0.463,2.2,2.7,0.831,0.3,1.8,2.1,4.1,1.1,0.4,1.6,1,13
417,Derrick Rose\rosede01,PG,32,DET,15,0,22.8,5.3,12.3,0.429,0.9,2.6,0.333,4.4,9.7,0.455,0.465,2.8,3.3,0.84,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
417,Derrick Rose\rosede01,PG,32,NYK,16,3,25,4.6,11.1,0.412,1.1,2.6,0.405,3.5,8.4,0.415,0.46,1.7,2.1,0.818,0.3,2.1,2.3,4,1,0.5,1.3,0.9,11.9
418,Terrence Ross\rosste01,SG,29,ORL,41,2,29.6,5.7,14,0.408,2.1,6.1,0.344,3.6,7.9,0.458,0.483,2.7,3,0.887,0.3,3.1,3.5,2.4,1.1,0.5,1.7,2,16.2
419,Terry Rozier\roziete01,SG,26,CHO,48,48,33.5,7.2,15.6,0.464,3.3,8.1,0.405,3.9,7.5,0.528,0.57,2.6,3.1,0.837,0.5,3.5,4.1,3.5,1.3,0.4,1.9,1.8,20.3
420,Ricky Rubio\rubiori01,PG,30,MIN,48,33,26.5,2.7,7.1,0.382,0.8,2.8,0.286,1.9,4.4,0.443,0.437,2.2,2.6,0.854,0.4,2.8,3.2,6.8,1.4,0.1,1.9,2.2,8.4
421,D'Angelo Russell\russeda01,PG,24,MIN,22,19,28.7,6.9,16.4,0.419,3,7.4,0.401,3.9,9,0.434,0.51,2.7,3.5,0.769,0.5,2.1,2.6,5,1,0.5,2.6,2,19.4
422,Domantas Sabonis\sabondo01,PF,24,IND,47,47,35.9,7.5,14.3,0.526,0.8,2.5,0.305,6.7,11.8,0.573,0.553,4.1,5.8,0.72,2.6,8.8,11.3,6,1.2,0.6,3.4,3.4,19.9
423,Luka Šamanić\samanlu01,PF,21,SAS,21,2,9.4,1.4,3,0.453,0.4,1.5,0.25,1,1.5,0.656,0.516,0.5,1,0.55,0.6,1.8,2.3,0.5,0.2,0.2,0.6,1.1,3.7
424,JaKarr Sampson\sampsja02,PF,27,IND,20,0,7.7,1.3,2.8,0.473,0.1,0.4,0.25,1.2,2.4,0.511,0.491,0.7,1,0.7,0.7,1.4,2.1,0.1,0.1,0.4,0.4,1.1,3.4
425,Dario Šarić\saricda01,C,26,PHO,33,0,18,3.5,7.5,0.458,1.1,3,0.35,2.4,4.5,0.53,0.528,1.7,2,0.864,1,3.1,4.2,1.3,0.5,0.1,1.2,2,9.7
426,Tomáš Satoranský\satorto01,SG,29,CHI,39,14,23.6,3.1,5.8,0.526,0.9,2.1,0.42,2.2,3.8,0.585,0.601,1.2,1.3,0.922,0.6,2.1,2.7,5,0.8,0.2,1.7,1.5,8.2
427,Dennis Schröder\schrode01,SG,27,LAL,48,48,31.9,5.1,12.1,0.426,1,3.2,0.327,4.1,8.9,0.461,0.469,3.8,4.5,0.842,0.5,3,3.5,5.4,1.2,0.2,2.9,2.7,15.1
428,Mike Scott\scottmi01,PF,32,PHI,32,8,17.6,1.4,4,0.346,1,3.1,0.333,0.3,0.9,0.393,0.476,0.2,0.3,0.6,0.3,2.5,2.8,0.7,0.6,0.2,0.5,1.4,4
429,Collin Sexton\sextoco01,SG,22,CLE,44,44,35.8,8.8,18.3,0.48,1.6,4.4,0.358,7.2,14,0.518,0.522,4.8,5.9,0.819,0.8,2.1,2.9,4.2,1.2,0.1,2.7,2.7,24
430,Landry Shamet\shamela01,SG,23,BRK,41,1,20.2,2.7,6.7,0.399,1.9,5,0.389,0.7,1.7,0.429,0.544,0.9,1.1,0.844,0.2,1.6,1.8,1.1,0.5,0.1,0.7,1.3,8.2
431,Iman Shumpert\shumpim01,SG,30,BRK,2,0,5.5,0.5,2,0.25,0,1.5,0,0.5,0.5,1,0.25,0,0,,0.5,0,0.5,0,0.5,0,0.5,0,1
432,Pascal Siakam\siakapa01,PF,26,TOR,43,43,35.4,7.4,16.3,0.454,1.2,4.3,0.288,6.2,12.1,0.513,0.491,4.7,5.6,0.837,1.8,5.5,7.3,4.5,1.1,0.7,2,3.2,20.7
433,Chris Silva\silvach01,PF,24,TOT,13,0,6.7,0.8,1.2,0.667,0.1,0.1,1,0.7,1.1,0.643,0.7,0.8,1.2,0.733,0.5,1.5,2,0.5,0.1,0.4,0.8,1.6,2.5
433,Chris Silva\silvach01,PF,24,MIA,11,0,7.5,0.8,1.2,0.692,0.1,0.1,1,0.7,1.1,0.667,0.731,1,1.4,0.733,0.6,1.6,2.3,0.5,0.1,0.5,0.8,1.8,2.7
433,Chris Silva\silvach01,PF,24,SAC,2,0,2,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0.5,0.5,0,0,0,0.5,0.5,1
434,Ben Simmons\simmobe01,PG,24,PHI,43,43,33.5,5.8,10.7,0.546,0.1,0.2,0.333,5.8,10.5,0.55,0.549,3.4,5.4,0.634,1.7,6.1,7.8,7.2,1.5,0.6,3.4,3.1,15.2
435,Anfernee Simons\simonan01,SG,21,POR,44,0,16.5,2.7,6.6,0.403,1.9,4.7,0.415,0.7,1.9,0.376,0.55,0.7,0.9,0.816,0.2,2.1,2.3,1.4,0.2,0.1,0.8,1.6,8
436,Deividas Sirvydis\sirvyde01,SG,20,DET,12,0,2.2,0.3,1,0.333,0.3,0.8,0.4,0,0.2,0,0.5,0.3,0.3,0.75,0,0.6,0.6,0.1,0.1,0,0.1,0.1,1.3
437,Alen Smailagić\smailal01,PF,20,GSW,5,1,5.2,0.8,2,0.4,0.4,1,0.4,0.4,1,0.4,0.5,0.2,0.8,0.25,0.4,0.2,0.6,0,0,0.2,0,1,2.2
438,Marcus Smart\smartma01,PG,26,BOS,33,30,32.1,4.2,10.4,0.404,1.9,5.6,0.342,2.3,4.8,0.475,0.496,2.8,3.5,0.791,0.5,2.4,3,5.5,1.5,0.5,1.8,2.5,13
439,Dennis Smith Jr.\smithde03,PG,23,TOT,22,8,18.2,2.6,6.4,0.407,0.9,2.5,0.345,1.7,3.9,0.447,0.475,0.8,1.1,0.708,0.5,2,2.5,3.4,1,0.6,1.1,1.6,6.8
439,Dennis Smith Jr.\smithde03,PG,23,NYK,3,0,9.3,0.7,3.3,0.2,0,1.3,0,0.7,2,0.333,0.2,1.7,2,0.833,0,0.7,0.7,1,1,0,0.3,1.3,3
439,Dennis Smith Jr.\smithde03,PG,23,DET,19,8,19.6,2.9,6.8,0.423,1,2.7,0.373,1.9,4.2,0.456,0.496,0.6,0.9,0.667,0.6,2.2,2.8,3.7,0.9,0.7,1.3,1.7,7.4
440,Ish Smith\smithis01,PG,32,WAS,22,1,20.4,2.4,6.3,0.381,0.3,1,0.273,2.1,5.3,0.402,0.403,0.4,0.8,0.471,0.5,2.9,3.4,4.6,0.7,0.2,1,1,5.5
441,Jalen Smith\smithja04,PF,20,PHO,17,0,4.4,0.6,1.5,0.385,0.1,0.6,0.2,0.5,0.9,0.5,0.423,0.1,0.2,0.333,0.3,0.6,0.9,0.1,0,0.1,0.2,0.5,1.4
442,Tony Snell\snellto01,SG,29,ATL,39,18,21.1,1.9,3.7,0.521,1.4,2.5,0.577,0.5,1.3,0.408,0.712,0.3,0.3,1,0.3,2,2.3,1.3,0.2,0.3,0.5,1.6,5.6
443,Ray Spalding\spaldra01,C,23,HOU,2,0,9.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,1,0,1,1,2,0,0,1,1.5,1.5,2
444,Cassius Stanley\stanlca01,SG,21,IND,14,0,2.7,0.3,1.3,0.222,0.1,0.4,0.167,0.2,0.9,0.25,0.25,0.3,0.4,0.8,0.3,0.4,0.7,0,0,0.1,0.1,0.6,0.9
445,Lamar Stevens\stevela01,PF,23,CLE,35,0,13.1,1.7,3.7,0.45,0.1,0.7,0.16,1.6,3,0.519,0.466,1,1.4,0.729,0.7,2,2.6,0.7,0.5,0.3,0.5,1.3,4.5
